Org Defined ID,UserName,FirstName,LastName,Attempt #,Score,Out Of,Attempt_Start,Attempt_End,Percent
14460432,au9747cp,Jericho,Greer,1,11,20,2019-02-10 15:44:00,2019-02-10 15:52:00,55 %
14460432,au9747cp,Jericho,Greer,2,3,20,2019-02-11 15:16:00,2019-02-11 15:24:00,15 %
14460432,au9747cp,Jericho,Greer,3,16,20,2019-02-11 15:19:00,2019-02-11 15:26:00,80 %
14460432,au9747cp,Jericho,Greer,4,11,20,2019-02-11 15:55:00,2019-02-11 16:01:00,55 %
14460432,au9747cp,Jericho,Greer,1,11,20,2019-02-10 15:18:00,2019-02-10 15:21:00,55 %
14460432,au9747cp,Jericho,Greer,2,19,20,2019-02-11 15:20:00,2019-02-11 15:24:00,95 %
14460432,au9747cp,Jericho,Greer,3,6,20,2019-02-11 15:59:00,2019-02-11 16:07:00,30 %
14460432,au9747cp,Jericho,Greer,4,16,20,2019-02-27 15:40:00,2019-02-27 15:50:00,80 %
14460432,au9747cp,Jericho,Greer,5,6,20,2019-02-27 15:43:00,2019-02-27 15:51:00,30 %
14460432,au9747cp,Jericho,Greer,6,7,20,2019-02-28 15:52:00,2019-02-28 15:54:00,35 %
14460432,au9747cp,Jericho,Greer,7,18,20,2019-02-28 15:35:00,2019-02-28 15:44:00,90 %
14460432,au9747cp,Jericho,Greer,8,12,20,2019-03-01 15:04:00,2019-03-01 15:07:00,60 %
14460432,au9747cp,Jericho,Greer,9,8,20,2019-03-01 15:51:00,2019-03-01 15:58:00,40 %
14460432,au9747cp,Jericho,Greer,1,15,20,2019-02-09 15:38:00,2019-02-09 15:48:00,75 %
14460432,au9747cp,Jericho,Greer,1,9,20,2019-02-09 15:11:00,2019-02-09 15:15:00,45 %
14460432,au9747cp,Jericho,Greer,2,7,20,2019-02-09 15:15:00,2019-02-09 15:22:00,35 %
14460432,au9747cp,Jericho,Greer,3,10,20,2019-02-10 15:47:00,2019-02-10 15:52:00,50 %
14460432,au9747cp,Jericho,Greer,4,17,20,2019-02-28 15:34:00,2019-02-28 15:44:00,85 %
13114642,qe3386ba,Willard,Kafka,5,14,20,2019-02-28 15:36:00,2019-02-28 15:41:00,70 %
13114642,qe3386ba,Willard,Kafka,6,5,20,2019-02-28 15:59:00,2019-02-28 16:02:00,25 %
13114642,qe3386ba,Willard,Kafka,1,6,20,2019-02-10 15:24:00,2019-02-10 15:27:00,30 %
13114642,qe3386ba,Willard,Kafka,2,19,20,2019-02-28 15:15:00,2019-02-28 15:18:00,95 %
13114642,qe3386ba,Willard,Kafka,3,9,20,2019-02-28 15:18:00,2019-02-28 15:27:00,45 %
13114642,qe3386ba,Willard,Kafka,1,8,20,2019-02-08 15:49:00,2019-02-08 15:55:00,40 %
13114642,qe3386ba,Willard,Kafka,2,11,20,2019-02-08 15:31:00,2019-02-08 15:34:00,55 %
13114642,qe3386ba,Willard,Kafka,3,4,20,2019-02-09 15:49:00,2019-02-09 15:53:00,20 %
13114642,qe3386ba,Willard,Kafka,4,15,20,2019-02-10 15:00:00,2019-02-10 15:10:00,75 %
13114642,qe3386ba,Willard,Kafka,5,3,20,2019-02-11 15:01:00,2019-02-11 15:04:00,15 %
13114642,qe3386ba,Willard,Kafka,6,14,20,2019-02-11 15:41:00,2019-02-11 15:51:00,70 %
13114642,qe3386ba,Willard,Kafka,7,7,20,2019-02-11 15:11:00,2019-02-11 15:17:00,35 %
13114642,qe3386ba,Willard,Kafka,8,17,20,2019-02-11 15:33:00,2019-02-11 15:34:00,85 %
13114642,qe3386ba,Willard,Kafka,9,8,20,2019-02-28 15:36:00,2019-02-28 15:42:00,40 %
13114642,qe3386ba,Willard,Kafka,10,10,20,2019-03-01 15:37:00,2019-03-01 15:43:00,50 %
13114642,qe3386ba,Willard,Kafka,1,14,20,2019-02-10 15:05:00,2019-02-10 15:07:00,70 %
13114642,qe3386ba,Willard,Kafka,2,14,20,2019-02-28 15:42:00,2019-02-28 15:44:00,70 %
13114642,qe3386ba,Willard,Kafka,1,6,20,2019-02-11 15:26:00,2019-02-11 15:29:00,30 %
13114642,qe3386ba,Willard,Kafka,2,17,20,2019-02-11 15:29:00,2019-02-11 15:35:00,85 %
14819010,kx3806uj,Ross,Galbreath,3,20,20,2019-02-11 15:36:00,2019-02-11 15:39:00,100 %
14819010,kx3806uj,Ross,Galbreath,4,3,20,2019-02-11 15:37:00,2019-02-11 15:39:00,15 %
14819010,kx3806uj,Ross,Galbreath,5,9,20,2019-02-11 15:53:00,2019-02-11 15:57:00,45 %
14819010,kx3806uj,Ross,Galbreath,6,9,20,2019-02-28 15:07:00,2019-02-28 15:11:00,45 %
14819010,kx3806uj,Ross,Galbreath,7,11,20,2019-02-28 15:11:00,2019-02-28 15:13:00,55 %
14819010,kx3806uj,Ross,Galbreath,8,19,20,2019-03-01 15:49:00,2019-03-01 15:52:00,95 %
14819010,kx3806uj,Ross,Galbreath,1,9,20,2019-02-09 15:48:00,2019-02-09 15:50:00,45 %
14819010,kx3806uj,Ross,Galbreath,2,13,20,2019-02-10 15:36:00,2019-02-10 15:45:00,65 %
