Org Defined ID,UserName,FirstName,LastName,Attempt #,Score,Out Of,Attempt_Start,Attempt_End,Percent
15135961,wd8670of,McKinley,Sabina,2,1,20,2019-02-09 11:33:00,2019-02-09 11:35:00,5 %
15135961,wd8670of,McKinley,Sabina,3,20,20,2019-02-09 11:34:00,2019-02-09 11:40:00,100 %
15135961,wd8670of,McKinley,Sabina,4,18,20,2019-02-09 11:36:00,2019-02-09 11:37:00,90 %
15135961,wd8670of,McKinley,Sabina,5,1,20,2019-02-09 11:37:00,2019-02-09 11:41:00,5 %
15135961,wd8670of,McKinley,Sabina,6,14,20,2019-02-09 11:42:00,2019-02-09 11:47:00,70 %
15135961,wd8670of,McKinley,Sabina,7,15,20,2019-02-09 11:31:00,2019-02-09 11:34:00,75 %
15135961,wd8670of,McKinley,Sabina,8,1,20,2019-02-10 11:16:00,2019-02-10 11:23:00,5 %
15135961,wd8670of,McKinley,Sabina,9,8,20,2019-02-27 11:17:00,2019-02-27 11:25:00,40 %
15135961,wd8670of,McKinley,Sabina,10,7,20,2019-02-27 11:20:00,2019-02-27 11:25:00,35 %
15135961,wd8670of,McKinley,Sabina,11,20,20,2019-02-27 11:29:00,2019-02-27 11:30:00,100 %
15135961,wd8670of,McKinley,Sabina,12,20,20,2019-02-27 11:37:00,2019-02-27 11:39:00,100 %
15135961,wd8670of,McKinley,Sabina,13,5,20,2019-02-28 11:16:00,2019-02-28 11:22:00,25 %
10390950,el1287vv,Frau,Angelica,14,18,20,2019-02-28 11:39:00,2019-02-28 11:48:00,90 %
10390950,el1287vv,Frau,Angelica,15,5,20,2019-02-28 11:41:00,2019-02-28 11:47:00,25 %
10390950,el1287vv,Frau,Angelica,16,17,20,2019-02-28 11:46:00,2019-02-28 11:54:00,85 %
10390950,el1287vv,Frau,Angelica,17,8,20,2019-03-01 11:54:00,2019-03-01 11:58:00,40 %
10390950,el1287vv,Frau,Angelica,1,3,20,2019-02-11 11:36:00,2019-02-11 11:39:00,15 %
10390950,el1287vv,Frau,Angelica,2,6,20,2019-02-11 11:59:00,2019-02-11 12:01:00,30 %
10390950,el1287vv,Frau,Angelica,1,4,20,2019-02-08 11:40:00,2019-02-08 11:46:00,20 %
10390950,el1287vv,Frau,Angelica,2,18,20,2019-02-08 11:43:00,2019-02-08 11:46:00,90 %
10390950,el1287vv,Frau,Angelica,3,8,20,2019-02-09 11:55:00,2019-02-09 11:59:00,40 %
10390950,el1287vv,Frau,Angelica,4,19,20,2019-02-10 11:45:00,2019-02-10 11:55:00,95 %
19846151,wf4016jq,Scotsman,McCluskey,5,10,20,2019-02-11 11:54:00,2019-02-11 11:59:00,50 %
19846151,wf4016jq,Scotsman,McCluskey,6,20,20,2019-02-28 11:53:00,2019-02-28 12:00:00,100 %
19846151,wf4016jq,Scotsman,McCluskey,7,10,20,2019-02-28 11:47:00,2019-02-28 11:53:00,50 %
19846151,wf4016jq,Scotsman,McCluskey,8,6,20,2019-02-28 11:13:00,2019-02-28 11:17:00,30 %
19846151,wf4016jq,Scotsman,McCluskey,9,6,20,2019-02-28 11:23:00,2019-02-28 11:27:00,30 %
19846151,wf4016jq,Scotsman,McCluskey,10,8,20,2019-03-01 11:59:00,2019-03-01 12:09:00,40 %
19846151,wf4016jq,Scotsman,McCluskey,11,17,20,2019-03-01 11:05:00,2019-03-01 11:12:00,85 %
19846151,wf4016jq,Scotsman,McCluskey,1,13,20,2019-02-08 11:58:00,2019-02-08 12:08:00,65 %
19846151,wf4016jq,Scotsman,McCluskey,2,8,20,2019-02-08 11:02:00,2019-02-08 11:10:00,40 %
19846151,wf4016jq,Scotsman,McCluskey,3,13,20,2019-02-11 11:27:00,2019-02-11 11:37:00,65 %
19846151,wf4016jq,Scotsman,McCluskey,4,15,20,2019-02-11 11:07:00,2019-02-11 11:08:00,75 %
19846151,wf4016jq,Scotsman,McCluskey,5,2,20,2019-02-27 11:49:00,2019-02-27 11:51:00,10 %
18630821,ct6978kd,Ekstrom,Czech,6,10,20,2019-02-27 11:53:00,2019-02-27 11:56:00,50 %
18630821,ct6978kd,Ekstrom,Czech,7,13,20,2019-03-01 11:16:00,2019-03-01 11:22:00,65 %
18630821,ct6978kd,Ekstrom,Czech,1,9,20,2019-02-09 11:27:00,2019-02-09 11:33:00,45 %
18630821,ct6978kd,Ekstrom,Czech,2,16,20,2019-02-11 11:28:00,2019-02-11 11:38:00,80 %
18630821,ct6978kd,Ekstrom,Czech,3,9,20,2019-02-11 11:31:00,2019-02-11 11:36:00,45 %
18630821,ct6978kd,Ekstrom,Czech,4,9,20,2019-02-28 11:57:00,2019-02-28 12:00:00,45 %
18630821,ct6978kd,Ekstrom,Czech,5,8,20,2019-02-28 11:01:00,2019-02-28 11:06:00,40 %
